item_id,metal,item_category,item_name,current_stock_pcs,avg_weight_per_pc,total_stock_weight,current_rate,stock_value,stock_status,last_purchase_date,last_sale_date,avg_monthly_sales,months_of_stock,reorder_level,reorder_quantity,supplier_lead_days,total_sold_3yr,revenue_3yr,revenue_contribution,cumulative_revenue,cumulative_pct,abc_category
INV0069,Gold,Rings,E RING ZALI,6,0.38,2.3,7220,16606.0,Normal,2024-11-07,2024-12-29,3.19,1.88,4,8,4,115,286937.37,286937.37,116809217.35000004,92.01250407532523,B
INV0131,Silver,Utensils,GLASS,15,8.2,122.93,93,11432.49,Normal,2024-11-28,2024-12-30,12.53,1.2,13,32,11,451,284960.88,284960.88,117094178.23000003,92.23697235554444,B
INV0071,Gold,Rings,E RING RAJKOT TAR BALI,54,0.16,8.89,7220,64185.8,Dead Stock,2024-05-06,2024-12-23,7.53,7.17,8,19,5,271,282171.64,282171.64,117376349.87000003,92.4592435064387,B
INV0010,Gold,Earrings,TOPS AD,14,0.23,3.22,7220,23248.4,Normal,2024-11-07,2024-12-23,5.06,2.77,6,13,6,182,276377.77,276377.77,117652727.64000003,92.6769507325068,B
INV0017,Gold,Nose Items,NATHANI AD,5,0.32,1.61,7220,11624.2,Normal,2024-10-31,2024-12-30,3.31,1.51,4,9,8,119,237270.58,237270.58,117889998.22000003,92.86385259440172,B
INV0118,Silver,Other,KALAS,1,14.11,14.11,93,1312.23,Critical,2024-11-01,2024-12-30,5.47,0.18,6,14,14,197,231906.73,231906.73,118121904.95000003,93.04652926515865,B
INV0026,Gold,Other,MANI V 300MG,6,0.32,1.91,7220,13790.2,Normal,2024-10-09,2024-12-18,3.19,1.88,4,8,4,115,228511.16,228511.16,118350416.11000003,93.22653119067242,B
INV0160,Silver,Anklets,"CHAL 11""",18,5.95,107.16,93,9965.88,Normal,2024-12-07,2024-12-29,11.89,1.51,12,30,6,428,210265.24,210265.24,118560681.35000002,93.3921605107836,B
INV0007,Gold,Earrings,TOPS KARWARI,11,0.23,2.52,7220,18194.4,Normal,2024-12-20,2024-12-12,3.86,2.85,4,10,4,139,205144.22,205144.22,118765825.57000002,93.55375592086345,B
INV0096,Silver,Pooja Items,SAMAI 6-12,8,13.0,104.0,93,9672.0,Normal,2024-10-22,2024-12-31,5.28,1.52,6,14,8,190,194644.14,194644.14,118960469.71000002,93.7070802486117,B
INV0150,Silver,Anklets,"CHAL 9.5""",12,5.66,67.88,93,6312.84,Normal,2024-10-22,2024-12-28,11.53,1.04,12,29,10,415,190005.75,190005.75,119150475.46000002,93.8567508417621,B
INV0151,Silver,Anklets,"CHAL 9""",15,5.8,87.05,93,8095.65,Normal,2024-11-11,2024-12-30,10.94,1.37,11,28,6,394,186049.99,186049.99,119336525.45000002,94.0033054189732,B
INV0156,Silver,Anklets,"CHAL 6.5""",149,4.87,725.76,93,67495.68,Dead Stock,2024-05-05,2024-12-31,12.69,11.74,13,32,11,457,183398.51,183398.51,119519923.96000002,94.14777138263275,B
INV0005,Gold,Other,ZHALARI,14,0.22,3.08,7220,22237.6,Excess,2024-08-05,2024-12-21,3.64,3.85,4,10,9,131,182433.06,182433.06,119702357.02000003,94.29147684575923,B
INV0004,Gold,Coins,ZS,8,0.19,1.54,7220,11118.8,Normal,2024-12-07,2024-12-16,4.22,1.89,5,11,3,152,164475.86,164475.86,119866832.88000003,94.42103713288277,B
INV0167,Silver,Bracelets,BRACELET,44,3.08,135.45,93,12596.85,Normal,2024-12-07,2024-12-28,18.17,2.42,19,46,14,654,163352.97,163352.97,120030185.85000002,94.54971290144653,B
INV0149,Silver,Anklets,"CHAL F 10""",12,3.87,46.46,93,4320.78,Low,2024-10-10,2024-12-31,14.0,0.86,14,35,12,504,160894.49,160894.49,120191080.34000002,94.67645208567086,B
INV0075,Gold,Chains,CHAIN DROP,0,0.18,0.0,7220,0.0,Critical,2024-12-08,2024-12-29,4.17,0.0,5,11,3,150,159261.5,159261.5,120350341.84000002,94.80190493733996,B
INV0009,Gold,Earrings,TOPS BUTTON,22,0.14,3.18,7220,22959.6,Excess,2024-10-06,2024-12-24,4.06,5.42,5,11,6,146,139691.13,139691.13,120490032.97000001,94.91194189298446,B
INV0032,Gold,Other,MANI LAKHI 60MG,14,0.21,2.98,7220,21515.6,Excess,2024-11-28,2024-11-25,2.92,4.8,3,8,6,105,136706.76,136706.76,120626739.73000002,95.01962801225649,C
INV0126,Silver,Ornaments,JODAVI PLANE,0,2.72,0.0,93,0.0,Critical,2024-10-30,2024-12-27,17.06,0.0,18,43,13,614,136368.09,136368.09,120763107.82000002,95.12704735570841,C
INV0180,Silver,Anklets,"45CHAL 10""",24,6.91,165.75,93,15414.75,Excess,2024-07-18,2024-12-29,6.47,3.71,7,17,14,233,130719.42,130719.42,120893827.24000002,95.23001715071557,C
INV0154,Silver,Anklets,"CHAL 7.5""",7,4.36,30.54,93,2840.22,Low,2024-11-11,2024-12-28,9.39,0.75,10,24,8,338,120565.46,120565.46,121014392.70000002,95.32498850769635,C
INV0115,Silver,Other,KUMKUM,87,4.33,376.72,93,35034.96,Dead Stock,2024-03-02,2024-12-31,9.42,9.24,10,24,14,339,120403.29,120403.29,121134795.99000002,95.41983212075311,C
INV0155,Silver,Anklets,"CHAL 7""",17,4.69,79.66,93,7408.38,Normal,2024-10-13,2024-12-31,8.5,2.0,9,22,9,306,116827.48,116827.48,121251623.47000003,95.51185901061234,C
INV0033,Gold,Other,MANI LAKHI 110MG,27,0.2,5.27,7220,38049.4,Dead Stock,2024-05-08,2024-12-10,2.69,10.02,3,7,7,97,115704.82,115704.82,121367328.29000002,95.60300156308647,C
INV0021,Gold,Rings,MUDDI V+AD,10,0.13,1.33,7220,9602.6,Normal,2024-10-27,2024-12-20,3.72,2.69,4,10,9,134,113536.75,113536.75,121480865.04000002,95.6924362918611,C
INV0157,Silver,Anklets,"CHAL 6""",15,4.08,61.15,93,5686.95,Normal,2024-10-27,2024-12-23,9.44,1.59,10,24,5,340,113509.03,113509.03,121594374.07000002,95.78184918514474,C
INV0077,Gold,Earrings,BUGADI,5,0.16,0.82,7220,5920.4,Normal,2024-12-22,2024-12-29,3.03,1.65,4,8,7,109,113147.23,113147.23,121707521.30000003,95.8709770827343,C
INV0015,Gold,Other,PANADI,3,0.14,0.42,7220,3032.4,Low,2024-12-03,2024-12-31,3.39,0.89,4,9,6,122,108598.91,108598.91,121816120.21000002,95.9565221953174,C
INV0113,Silver,Idols,LAXMI MURTI,40,6.14,245.75,93,22854.75,Dead Stock,2024-04-27,2024-12-30,6.22,6.43,7,16,9,224,107538.59,107538.59,121923658.80000003,96.04123207673868,C
INV0076,Gold,Earrings,BUGADI TAR,10,0.13,1.34,7220,9674.8,Excess,2024-10-17,2024-12-10,3.28,3.05,4,9,5,118,105293.69,105293.69,122028952.49000002,96.12417361423054,C
INV0125,Silver,Chains,KADA FANCY,39,3.1,120.95,93,11248.35,Excess,2024-10-12,2024-12-27,11.69,3.33,12,30,5,421,103776.24,103776.24,122132728.73000002,96.20591983188827,C
INV0090,Silver,Ornaments,VALE GEJJI,10,3.49,34.91,93,3246.63,Low,2024-11-21,2024-12-28,10.06,0.99,11,26,8,362,102820.22,102820.22,122235548.95000002,96.28691297717602,C
INV0153,Silver,Anklets,"CHAL 8""",14,4.88,68.36,93,6357.48,Normal,2024-12-10,2024-12-24,7.06,1.98,8,18,6,254,102815.26,102815.26,122338364.21000002,96.36790221539178,C
INV0158,Silver,Anklets,"CHAL 5.5""",28,3.66,102.53,93,9535.29,Excess,2024-11-22,2024-12-21,9.22,3.04,10,24,11,332,98757.59,98757.59,122437121.80000003,96.4456951615179,C
INV0148,Silver,Anklets,"CHAL F 10.5""",31,3.8,117.94,93,10968.42,Excess,2024-08-01,2024-12-29,8.78,3.53,9,22,11,316,98669.7,98669.7,122535791.50000003,96.5234188752738,C
INV0111,Silver,Chains,LINGADKAI-CHAIN,15,5.36,80.44,93,7480.92,Normal,2024-11-22,2024-12-29,6.28,2.39,7,16,5,226,97533.49,97533.49,122633324.99000002,96.6002475780911,C
INV0152,Silver,Anklets,"CHAL 8.5""",36,4.8,172.63,93,16054.59,Excess,2024-09-20,2024-12-31,6.97,5.16,7,18,10,251,97380.95,97380.95,122730705.94000003,96.67695612269068,C
INV0132,Silver,Other,GHODA SOLID,13,6.25,81.2,93,7551.6,Normal,2024-10-13,2024-12-30,5.19,2.5,6,13,11,187,96431.12,96431.12,122827137.06000003,96.7529164708831,C
INV0023,Gold,Rings,MUDDI B,1,0.08,0.08,7220,577.6,Critical,2024-11-04,2024-12-22,5.03,0.2,6,13,5,181,94091.48,94091.48,122921228.54000004,96.8270338469204,C
INV0112,Silver,Idols,LAXMI MURTI SOLID,7,5.95,41.63,93,3871.59,Normal,2024-10-29,2024-12-22,5.56,1.26,6,14,11,200,92375.7,92375.7,123013604.24000004,96.89979967538447,C
INV0127,Silver,Ornaments,JODAVI NAKSHI,15,2.33,35.01,93,3255.93,Normal,2024-12-04,2024-12-23,13.22,1.13,14,34,6,476,90087.0,90087.0,123103691.24000004,96.97076265795283,C
INV0138,Silver,Other,FULPATRA,44,5.31,233.8,93,21743.4,Dead Stock,2024-06-14,2024-12-16,5.86,7.51,6,15,7,211,89786.08,89786.08,123193477.32000004,97.04148860098482,C
INV0052,Gold,Pendants,LOCKET GL,8,0.1,0.8,7220,5776.0,Normal,2024-12-18,2024-12-31,3.86,2.07,4,10,9,139,88606.4,88606.4,123282083.72000004,97.11128529105828,C
INV0040,Gold,Other,MANI K 100MG,32,0.08,2.57,7220,18555.4,Dead Stock,2024-03-24,2024-12-21,4.92,6.51,5,13,5,177,88000.7,88000.7,123370084.42000005,97.18060486147472,C
INV0177,Silver,Anklets,"45CHAL 6""",29,5.0,145.15,93,13498.95,Excess,2024-08-14,2024-12-29,5.89,4.92,6,15,5,212,86646.85,86646.85,123456731.27000004,97.24885798241507,C
INV0109,Silver,Pooja Items,MADHE VAT DIVA,31,5.17,160.39,93,14916.27,Excess,2024-07-17,2024-12-20,5.86,5.29,6,15,11,211,85645.3,85645.3,123542376.57000004,97.31632216627027,C
INV0137,Silver,Other,GADU,32,5.6,179.19,93,16664.67,Dead Stock,2024-10-01,2024-12-29,5.25,6.1,6,14,8,189,85428.29,85428.29,123627804.86000004,97.38361540784915,C
INV0114,Silver,Pooja Items,LAXMI DIVA,8,5.23,41.86,93,3892.98,Normal,2024-12-17,2024-12-25,5.67,1.41,6,15,10,204,84156.4,84156.4,123711961.26000005,97.4499067611656,C
INV0163,Silver,Chains,CHAIN,0,1.8,0.0,93,0.0,Critical,2024-10-29,2024-12-28,16.28,0.0,17,41,10,586,83905.73,83905.73,123795866.99000005,97.51600065768093,C
INV0173,Silver,Pooja Items,AARTI FANCY,13,5.59,72.67,93,6758.31,Normal,2024-12-06,2024-12-28,5.03,2.59,6,13,10,181,79168.71,79168.71,123875035.70000005,97.57836312715699,C
INV0031,Gold,Other,MANI NAKSHI 120MG,19,0.1,1.85,7220,13357.0,Excess,2024-09-04,2024-12-22,3.67,5.18,4,10,3,132,78208.65,78208.65,123953244.35000005,97.63996934188994,C
INV0134,Silver,Idols,GANESH MURTI,17,4.33,73.66,93,6850.38,Normal,2024-12-22,2024-12-28,6.31,2.7,7,16,11,227,77551.84,77551.84,124030796.19000006,97.7010581767947,C
INV0175,Silver,Anklets,"45CHAL 9.5""",30,5.22,156.65,93,14568.45,Excess,2024-10-19,2024-12-24,5.08,5.9,6,13,10,183,77489.27,77489.27,124108285.46000005,97.76209772430153,C
INV0029,Gold,Other,MANI PLAIN ( JONDALA),5,0.09,0.45,7220,3249.0,Normal,2024-12-18,2024-12-28,3.64,1.37,4,10,8,131,75105.17,75105.17,124183390.63000005,97.82125927779431,C
INV0012,Gold,Other,PLATE,4,0.12,0.48,7220,3465.6,Normal,2024-11-10,2024-11-29,2.72,1.47,3,7,9,98,72930.99,72930.99,124256321.62000005,97.87870819464207,C
INV0037,Gold,Other,MANI K 250MG,9,0.08,0.71,7220,5126.2,Normal,2024-11-17,2024-12-21,3.89,2.31,4,10,5,140,70349.81,70349.81,124326671.43000005,97.93412387438187,C
INV0123,Silver,Chains,KADA SIKH,21,2.97,62.36,93,5799.48,Normal,2024-10-13,2024-12-30,8.33,2.52,9,21,12,300,70316.37,70316.37,124396987.80000006,97.98951321289444,C
INV0116,Silver,Other,KARANDA,6,4.41,26.46,93,2460.78,Normal,2024-10-14,2024-12-31,5.33,1.12,6,14,7,192,69787.67,69787.67,124466775.47000006,98.04448608589162,C
INV0124,Silver,Chains,KADA LOCK,23,3.16,72.71,93,6762.03,Excess,2024-11-29,2024-12-28,7.64,3.01,8,20,10,275,69696.77,69696.77,124536472.24000005,98.09938735549302,C
INV0088,Silver,Ornaments,VALE POKAL,18,3.03,54.52,93,5070.36,Normal,2024-11-13,2024-12-28,7.81,2.31,8,20,8,281,69360.79,69360.79,124605833.03000006,98.1540239682307,C
INV0051,Gold,Other,M TAR,4,0.09,0.37,7220,2671.4,Normal,2024-12-13,2024-12-19,3.33,1.2,4,9,8,120,68515.81,68515.81,124674348.84000006,98.20799497659694,C
INV0172,Silver,Pooja Items,AARTI GOL VAT,10,4.58,45.79,93,4258.47,Normal,2024-11-08,2024-12-29,5.22,1.91,6,14,11,188,67565.59,67565.59,124741914.43000007,98.2612174813467,C
INV0104,Silver,Utensils,PADAM PLATE,12,5.33,63.96,93,5948.28,Normal,2024-11-03,2024-12-27,4.61,2.6,5,12,6,166,66637.67,66637.67,124808552.10000007,98.3137090485496,C
INV0130,Silver,Other,GUNDGADGI,82,2.73,223.51,93,20786.43,Dead Stock,2024-01-05,2024-12-25,8.28,9.91,9,21,13,298,65382.13,65382.13,124873934.23000006,98.3652116066487,C
INV0019,Gold,Nose Items,NATH,10,0.08,0.84,7220,6064.8,Normal,2024-12-20,2024-12-28,3.5,2.86,4,9,5,126,64873.38,64873.38,124938807.61000006,98.41631341416911,C
INV0159,Silver,Anklets,"CHAL 5""",9,3.21,28.91,93,2688.63,Normal,2024-10-07,2024-12-27,6.86,1.31,7,18,14,247,64189.13,64189.13,125002996.74000005,98.46687622693086,C
INV0108,Silver,Other,MEKHALA,6,4.29,25.74,93,2393.82,Normal,2024-12-19,2024-12-28,4.83,1.24,5,13,14,174,61077.03,61077.03,125064073.77000006,98.51498758833948,C
INV0146,Silver,Anklets,"CHAL F 9.5""",29,3.39,98.4,93,9151.2,Excess,2024-07-14,2024-12-29,5.97,4.86,6,15,6,215,59582.95,59582.95,125123656.72000006,98.56192203883981,C
INV0081,Gold,Bracelets,BARSE BRACELET,18,0.08,1.4,7220,10108.0,Excess,2024-10-11,2024-12-26,3.42,5.27,4,9,3,123,59482.63,59482.63,125183139.35000005,98.60877746565846,C
INV0085,Silver,Utensils,VATI PLANE,28,3.56,99.61,93,9263.73,Excess,2024-10-11,2024-12-28,6.0,4.67,6,15,14,216,59444.76,59444.76,125242584.11000006,98.65560306166743,C
INV0179,Silver,Anklets,"45CHAL 10.5""",7,4.11,28.76,93,2674.68,Normal,2024-11-27,2024-12-27,4.78,1.47,5,12,5,172,58641.19,58641.19,125301225.30000006,98.70179567262973,C
INV0086,Silver,Utensils,VATI NAKSHI,29,3.43,99.43,93,9246.99,Excess,2024-08-18,2024-12-23,5.94,4.88,6,15,14,214,55866.01,55866.01,125357091.31000006,98.74580222955575,C
INV0089,Silver,Ornaments,VALE GHATTA,16,3.37,53.97,93,5019.21,Normal,2024-12-01,2024-12-24,5.56,2.88,6,14,13,200,54661.36,54661.36,125411752.67000006,98.78885986425159,C
INV0044,Gold,Other,MANI ASTAPAILU 20MG,11,0.06,0.65,7220,4693.0,Normal,2024-12-24,2024-12-25,4.14,2.66,5,11,8,149,53526.85,53526.85,125465279.52000006,98.83102382712624,C
INV0041,Gold,Other,MANI JAVA MIX,9,0.07,0.58,7220,4187.6,Normal,2024-12-15,2024-12-27,3.53,2.55,4,9,3,127,52287.4,52287.4,125517566.92000006,98.87221145524957,C
INV0027,Gold,Other,MANI V 250MG,13,0.07,0.84,7220,6064.8,Excess,2024-11-28,2024-12-28,3.53,3.69,4,9,8,127,51553.58,51553.58,125569120.50000006,98.91282104152592,C
INV0176,Silver,Anklets,"45CHAL 6.5""",5,3.87,19.37,93,1801.41,Normal,2024-12-08,2024-12-28,4.56,1.1,5,12,7,164,50666.18,50666.18,125619786.68000007,98.9527316085128,C
INV0178,Silver,Anklets,"45CHAL 5""",10,3.64,36.4,93,3385.2,Normal,2024-11-07,2024-12-10,4.75,2.11,5,12,10,171,50192.05,50192.05,125669978.73000006,98.99226869565324,C
